ID,Year,Location,Latitude,Longitude,Ecosystem,Prior_land_use,Restoration_strategy
SB095,2022,China,27.466666,119.416666,Forest,Monoculture plantation,Active restoration
SB096,2022,China,25.1,114.8,Forest,Erosion,Active restoration
SB097,2022,Australia,-37.78,145.49,Forest,Pasture,Active restoration
SB098,2022,China,34.433333,100.558333,Grassland,Pasture,Active restoration
SB099,2022,China,39.08333,106.11666,Forest,Mining,Active restoration
SB100,2022,China,38.941666,115.98333,Forest,Agriculture,Active restoration
SB101,2022,China,36.694027,109.60833,Grassland,Agriculture,Natural regeneration
SB102,2022,China,27.55388889,114.505555,Forest,Monoculture plantation,Natural regeneration
SB103,2022,China,47.35416667,123.92,Grassland,Pasture,Natural regeneration
SB104,2022,China,47.9057,134.23907,Forest,Agriculture,Active restoration
SB105,2022,China,33.6,111.833333,Forest,Deforestation,Active restoration
SB106,2022,Vietnam,14.35,108.5666666,Forest,Deforestation,Active restoration
SB107,2019,China,32.75,110.21666,Forest,Agriculture,Active restoration
SB108,2022,China,26.2630555,105.81,Forest,Agriculture,Natural regeneration
SB109,2022,China,23.86666,108.083333,Forest,Monoculture plantation,Active restoration
SB110,2022,China,21.45,110.9,Forest,Deforestation,Active restoration
SB111,2022,Canada,46.61,-81.43,Grassland,Mining,Active restoration
SB112,2022,China,48.66666667,126.375,Forest,Deforestation,Natural regeneration
SB113,2022,China,36.01916667,109.0155556,Forest,Agriculture,Natural regeneration
SB114,2022,China,22.85,104.4333333,Forest,Deforestation,Natural regeneration
SB115,2023,Poland,52.24,21.3,Forest,Agriculture,Natural regeneration
SB116,2023,China,31.716,102.766,Grassland,Deforestation,Active restoration
SB117,2023,China,48.116,129.108,Forest,Deforestation,Natural regeneration
SB118,2023,China,34.47,100.21,Grassland,Agriculture,Active restoration
SB119,2023,China,34.47,100.21,Grassland,Mining,Active restoration
SB120,2023,China,29.7765277,106.354583,Forest,Others,Natural regeneration
SB121,2023,China,33.016666,102.616666,Grassland,Pasture,Active restoration
SB122,2023,China,40.0245833,117.136527,Forest,Mining,Active restoration
SB123,2023,China,25.2,116.55,Forest,Monoculture plantation,Active restoration
SB124,2023,China,32.2530555,100.699166,Grassland,Agriculture,Active restoration
SB125,2023,China,21.26666,110.08333,Forest,Monoculture plantation,Active restoration
SB127,2023,China,33.925,96.06666,Grassland,Pasture,Active restoration
SB128,2023,China,44.53333,116.51666,Grassland,Mining,Natural regeneration
SB130,2023,China ,34.816666,108.125,Forest,Monoculture plantation,Active restoration
SB131,2023,China,44.005,89.2,Grassland,Pasture,Natural regeneration
SB132,2023,China,27.7416666,109.16666,Forest,Erosion,Active restoration
SB133,2023,China,38.54328333,100.254616,Grassland,Pasture,Active restoration
SB135,2023,China,27.79,114.91,Forest,Deforestation,Active restoration
SB136,2023,China,24.869444,113.2111,Forest,Agriculture,Natural regeneration
SB137,2023,China,27.625,111.108333,Forest,Agriculture,Active restoration
SB138,2023,China,25.2916666,106.61666,Forest,Agriculture,Active restoration
SB140,2023,China,42.91666667,120.6833333,Grassland,Pasture,Natural regeneration
SB141,2023,China,42.41666667,116.8833333,Forest,Deforestation,Active restoration
SB142,2023,China,26.63333333,115.2833333,Forest,Monoculture plantation,Active restoration
SB143,2023,China,36.21666667,106.4333333,Grassland,Agriculture,Natural regeneration
SB144,2024,China,25.67,116.35,Forest,Erosion,Active restoration
SB145,2024,China,34.516,108.085,Forest,Agriculture,Active restoration
SB146,2024,China,25.677,116.471,Forest,Erosion,Active restoration
SB147,2024,China,36.05,104.7,Grassland,Agriculture,Active restoration
SB148,2024,China,37.616666,101.316666,Grassland,Pasture,Natural regeneration
SB149,2024,China,28.75,116.01666,Forest,Agriculture,Natural regeneration
SB150,2024,China,34.783333,100.35,Grassland,Pasture,Active restoration
SB151,2024,China,44.583333,123.5,Grassland,Pasture,Natural regeneration
SB152,2024,China,34.916666,102.883333,Grassland,Agriculture,Natural regeneration
SB153,2024,China,43.593333,116.707638,Grassland,Pasture,Natural regeneration
SB154,2024,China,34.816666,108.125,Forest,Agriculture,Active restoration
SB155,2024,China,25.63333333,116.3916667,Forest,Erosion,Active restoration
SB156,2024,China,29.763,106.315,Forest,Deforestation,Active restoration
SB157,2024,China,26.63333333,115.2833333,Forest,Monoculture plantation,Active restoration
SB158,2024,China,36.85,109.3166667,Grassland,Agriculture,Natural regeneration
SB159,2024,China,24.71666667,108.3,Forest,Agriculture,Active restoration
SB160,2024,China,46.5,132.3780556,Grassland,Agriculture,Natural regeneration
SB161,2024,Brazil,-3.746111,-39.783333,Forest,Pasture,Natural regeneration
SB162,2024,China,36.8644,109.3293,Grassland,Agriculture,Natural regeneration
SB163,2024,China,22.69833333,112.6405556,Forest,Monoculture plantation,Active restoration
SB164,2024,Spain,40.82444444,-2.28555556,Forest,Agriculture,Natural regeneration
