ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB076,Forest,Agriculture,Passive,6,Basidiomycota,Relative abundance,16.86,35.43,1.686,3.543,3,4
SB076,Forest,Agriculture,Passive,20,Basidiomycota,Relative abundance,27.82,35.43,2.782,3.543,3,4
SB076,Forest,Agriculture,Passive,40,Basidiomycota,Relative abundance,19.32,35.43,1.932,3.543,3,4
SB120,Forest,Mining,Passive,1,Basidiomycota,Relative abundance,20,38,2,3.8,4,4
SB120,Forest,Others,Passive,2,Basidiomycota,Relative abundance,6,38,0.6,3.8,4,4
SB120,Forest,Others,Passive,2,Basidiomycota,Relative abundance,18,38,1.8,3.8,4,4
SB120,Forest,Others,Passive,20,Basidiomycota,Relative abundance,36,38,3.6,3.8,4,4
SB117,Forest,Deforestation,Passive,20,Basidiomycota,Relative abundance,65,39,6.5,3.9,3,3
SB117,Forest,Deforestation,Passive,32,Basidiomycota,Relative abundance,60,39,6,3.9,3,3
SB117,Forest,Deforestation,Passive,47,Basidiomycota,Relative abundance,50,39,5,3.9,3,3
SB117,Forest,Deforestation,Passive,61,Basidiomycota,Relative abundance,40,40,4,4,3,3
SB056,Forest,Deforestation,Active,43,Basidiomycota,Relative abundance,5.35,44.22,4.114365079,34.01059394,5,5
SB064,Forest,Mining,Active,12,Basidiomycota,Relative abundance,6,45,0.6,4.5,4,4
SB090,Forest,Agriculture,Passive,110,Basidiomycota,Relative abundance,32,47.59,12.14,12.38,4,4
SB090,Forest,Agriculture,Passive,30,Basidiomycota,Relative abundance,12.69,47.59,2.72,12.38,4,4
SB090,Forest,Agriculture,Passive,15,Basidiomycota,Relative abundance,17.43,47.59,10.1,12.38,4,4
SB090,Forest,Agriculture,Passive,50,Basidiomycota,Relative abundance,8.28,47.59,2.46,12.38,4,4
SB112,Forest,Deforestation,Passive,6,Basidiomycota,Relative abundance,72,64,7.2,6.4,3,3
SB112,Forest,Deforestation,Passive,6,Basidiomycota,Relative abundance,55,64,5.5,6.4,3,3
SB112,Forest,Deforestation,Passive,6,Basidiomycota,Relative abundance,53,64,5.3,6.4,3,3
SB112,Forest,Deforestation,Passive,6,Basidiomycota,Relative abundance,77.5,64,7.75,6.4,3,3
SB183,Forest,Deforestation,Active,64,Basidiomycota,Relative abundance,43,65,4.3,6.5,5,5
SB183,Forest,Deforestation,Active,64,Basidiomycota,Relative abundance,52,65,5.2,6.5,5,5
SB048,Grassland,Deforestation,Passive,38,Basidiomycota,Relative abundance,25,70,2.5,7,3,3
SB048,Grassland,Deforestation,Passive,58,Basidiomycota,Relative abundance,48,70,4.8,7,3,3
SB021,Forest,Erosion,Active,12,Basidiomycota,Relative abundance,26.666,71.292,15.00848826,23.9303995,5,5
SB021,Forest,Erosion,Active,29,Basidiomycota,Relative abundance,75.102,71.292,15.41321657,23.9303995,5,5
SB021,Forest,Erosion,Active,53,Basidiomycota,Relative abundance,76.009,71.292,24.33736387,23.9303995,5,5
SB177,Forest,Erosion,Active,37,Basidiomycota,Relative abundance,56,72.5,5.6,7.25,3,3
SB166,Forest,Deforestation,Passive,40,Basidiomycota,Relative abundance,44.53,80.85,21.24264579,7.714434522,5,5
SB166,Forest,Deforestation,Active,40,Basidiomycota,Relative abundance,24.39,80.85,2.593838854,7.714434522,5,5
SB165,Forest,Deforestation,Passive,16,Basidiomycota,Relative abundance,85,81.5,8.5,8.15,5,5
SB165,Forest,Deforestation,Passive,23,Basidiomycota,Relative abundance,77,81.5,7.7,8.15,5,5
SB165,Forest,Deforestation,Passive,59,Basidiomycota,Relative abundance,81.5,81.5,8.15,8.15,5,5
