ID,Restored_SS,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB161,9,20,Forest,Pasture,Passive,0.06378795,0.31976646,0.04562021,0.21110437,9,9
SB186,8,4,Grassland,Pasture,Active,0.2039638,0.3321269,0.1156204,0.1993039,8,15
SB044,9,31,Forest,Agriculture,Passive,0.3792066,0.3415624,0.1733186,0.1591209,9,10
SB076,3,6,Forest,Agriculture,Passive,0.03580439,0.38570081,0.02197102,0.20497746,3,3
SB076,3,40,Forest,Agriculture,Passive,0.14495774,0.38570081,0.05397851,0.20497746,3,3
SB076,3,20,Forest,Agriculture,Passive,0.1617872,0.38570081,0.10087295,0.20497746,3,3
SB076,3,3,Forest,Agriculture,Passive,0.16302506,0.38570081,0.07951644,0.20497746,3,3
SB071,5,5,Forest,Agriculture,Passive,0.3173994,0.4895661,0.1244005,0.3445929,5,5
SB071,5,35,Forest,Agriculture,Passive,0.613626,0.4895661,0.3355365,0.3445929,5,5
SB071,5,17,Forest,Agriculture,Passive,0.8773351,0.4895661,0.569839,0.3445929,5,5
SB152,15,2,Grassland,Agriculture,Passive,0.2475405,0.496795,0.1345507,0.2133497,15,15
SB152,15,10,Grassland,Agriculture,Passive,0.3175238,0.496795,0.1658337,0.2133497,15,15
SB152,15,20,Grassland,Agriculture,Passive,0.4261561,0.496795,0.2269553,0.2133497,15,15
SB064,4,12,Forest,Mining,Active,0.2028661,0.6746457,0.08065524,0.52073925,4,4
SB020,3,5,Forest,Mining,Active,0.1701022,0.6759611,0.03638475,0.44802788,3,3
SB020,3,11,Forest,Mining,Active,0.2612105,0.6759611,0.08742773,0.44802788,3,3
SB020,3,30,Forest,Mining,Active,0.4236239,0.6759611,0.25217693,0.44802788,3,3
SB020,3,21,Forest,Mining,Active,0.472373,0.6759611,0.29206261,0.44802788,3,3
SB075,5,9,Grassland,Pasture,Passive,0.6424914,0.8542797,0.5616954,0.5420078,5,5
SB075,5,9,Grassland,Pasture,Active,1.1012005,0.8542797,0.6418859,0.5420078,5,5
SB083,3,10,Forest,Agriculture,Passive,0.9659221,3.7020261,0.4274467,1.3243959,3,3
SB083,3,29,Forest,Agriculture,Passive,1.7855904,3.7020261,0.9114563,1.3243959,3,3
SB083,3,59,Forest,Agriculture,Passive,4.1061268,3.7020261,2.0192583,1.3243959,3,3
SB056,5,43,Forest,Deforestation,Active,2.32061,4.699436,1.148511,2.748558,5,5
SB119,9,4,Grassland,Mining,Active,33.28706,26.32534,17.83619,15.44395,9,9
SB119,9,4,Grassland,Mining,Active,34.88202,26.32534,15.44395,15.44395,9,9
