ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB148,Grassland,Pasture,Passive,13,Total,Richness_OTU,526.6,460.2,52.66,46.02,1,2
SB148,Grassland,Pasture,Passive,22,Total,Richness_OTU,558.8,460.2,55.88,46.02,1,2
SB148,Grassland,Pasture,Passive,39,Total,Richness_OTU,542.2,460.2,54.22,46.02,1,2
SB174,Forest,Deforestation,Active,50,Total,Richness_OTU,331,468,191,224,4,4
SB174,Forest,Deforestation,Active,35,Total,Richness_OTU,210,468,125,224,4,4
SB133,Grassland,Pasture,Active,31,Total,Richness_OTU,504,476,64.50157207,214.08,3,4
SB133,Grassland,Pasture,Active,48,Total,Richness_OTU,599,476,111.7345976,214.08,3,4
SB050,Grassland,Pasture,Passive,5,Total,Richness_OTU,468.99,526.721,11.30336357,43.83,3,4
SB050,Grassland,Pasture,Passive,10,Total,Richness_OTU,593.57,526.721,40.94568109,43.83,3,4
SB050,Grassland,Pasture,Passive,15,Total,Richness_OTU,511.34,526.721,9.941971635,43.83,3,4
SB140,Grassland,Pasture,Passive,33,Total,Richness_OTU,659.1,533.2,53.07125,39.80344,9,9
SB142,Forest,Monoculture plantation,Active,5,Total,Richness_OTU,697.67,549,47.6,131.53,3,3
SB142,Forest,Monoculture plantation,Active,10,Total,Richness_OTU,687,549,150.12,131.53,3,3
SB024,Forest,Agriculture,Passive,17,Total,Richness_OTU,737,557,25,18,3,3
SB024,Forest,Agriculture,Passive,17,Total,Richness_OTU,659,557,23,18,3,3
SB024,Grassland,Agriculture,Passive,78,Total,Richness_OTU,835,557,12,18,3,3
SB073,Forest,Mining,Active,5,Total,Richness_OTU,683.836,608.474,171.4196543,82.69703076,18,19
SB069,Forest,Agriculture,Active,17,Total,Richness_OTU,492.768,632.231,75.15022044,68.18,3,4
SB069,Forest,Agriculture,Active,28,Total,Richness_OTU,734.504,632.231,48.31036112,68.18,3,4
SB069,Forest,Agriculture,Active,34,Total,Richness_OTU,787.19,632.231,26.83812726,68.18,3,4
