ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB123,Forest,Monoculture plantation,Active,40,Ascomycota,Relative abundance,18,45,1.8,4.5,3,4
SB123,Forest,Monoculture plantation,Active,40,Ascomycota,Relative abundance,15,45,1.5,4.5,3,4
SB143,Grassland,Agriculture,Passive,5,Ascomycota,Relative abundance,50,45,5,4.5,3,3
SB143,Grassland,Agriculture,Passive,10,Ascomycota,Relative abundance,52,45,5.2,4.5,3,3
SB143,Grassland,Agriculture,Passive,15,Ascomycota,Relative abundance,53,45,5.3,4.5,3,3
SB143,Grassland,Agriculture,Passive,25,Ascomycota,Relative abundance,55,45,5.5,4.5,3,3
SB143,Grassland,Agriculture,Passive,30,Ascomycota,Relative abundance,56,45,5.6,4.5,3,3
SB097,Forest,Pasture,Active,6,Ascomycota,Relative abundance,37,47,3.7,4.7,9,10
SB150,Grassland,Pasture,Active,5,Ascomycota,Relative abundance,40,47,4,4.7,3,4
SB150,Grassland,Pasture,Active,14,Ascomycota,Relative abundance,35,47,3.5,4.7,3,4
SB150,Grassland,Pasture,Active,16,Ascomycota,Relative abundance,41,47,4.1,4.7,3,4
SB150,Grassland,Pasture,Active,19,Ascomycota,Relative abundance,41,47,4.1,4.7,3,4
SB123,Forest,Monoculture plantation,Active,20,Ascomycota,Relative abundance,18,48,1.8,4.8,3,4
SB123,Forest,Monoculture plantation,Active,20,Ascomycota,Relative abundance,15,48,1.5,4.8,3,4
SB057,Forest,Agriculture,Active,13,Ascomycota,Relative abundance,52.74,49.7,10.34034332,10.62,3,4
SB057,Forest,Agriculture,Active,29,Ascomycota,Relative abundance,47.6,49.7,4.867062769,10.62,3,4
SB057,Forest,Agriculture,Active,44,Ascomycota,Relative abundance,45.92,49.7,4.382088543,10.62,3,4
SB101,Grassland,Agriculture,Passive,24,Ascomycota,Relative abundance,42,50,4.2,5,9,10
SB101,Grassland,Agriculture,Active,24,Ascomycota,Relative abundance,42,50,4.2,5,9,10
SB101,Grassland,Agriculture,Active,24,Ascomycota,Relative abundance,40,50,4,5,9,10
SB101,Grassland,Agriculture,Active,24,Ascomycota,Relative abundance,35,50,3.5,5,9,10
SB101,Grassland,Agriculture,Passive,24,Ascomycota,Relative abundance,39,50,3.9,5,9,10
SB177,Forest,Erosion,Active,37,Ascomycota,Relative abundance,44,50,4.4,5,3,3
SB034,Forest,Agriculture,Passive,9,Ascomycota,Relative abundance,35.85,52.55,7.665037508,7.778508855,8,7
SB034,Forest,Agriculture,Passive,16.2,Ascomycota,Relative abundance,34.11,52.55,7.311942286,7.778508855,5,7
SB034,Forest,Agriculture,Passive,52.4,Ascomycota,Relative abundance,22.9,52.55,12.69,7.778508855,9,7
SB074,Forest,Monoculture plantation,Active,12,Ascomycota,Relative abundance,47.09,54.11,4.62,5.210038388,4,5
SB028,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,60.03,54.86,5.300075471,20.24,3,4
SB028,Forest,Agriculture,Active,30,Ascomycota,Relative abundance,29.46,54.86,12.50540683,20.24,3,4
SB028,Forest,Agriculture,Active,45,Ascomycota,Relative abundance,40.27,54.86,10.84263806,20.24,3,4
SB007,Forest,Others,Active,2,Ascomycota,Relative abundance,81,55,8.1,5.5,3,4
SB007,Forest,Others,Active,1,Ascomycota,Relative abundance,60,55,6,5.5,3,4
SB007,Forest,Others,Active,25,Ascomycota,Relative abundance,78,55,7.8,5.5,3,4
SB079,Grassland,Pasture,Passive,5,Ascomycota,Relative abundance,50,55,5,5.5,3,4
SB079,Grassland,Pasture,Passive,10,Ascomycota,Relative abundance,45,55,4.5,5.5,3,4
SB079,Grassland,Pasture,Passive,15,Ascomycota,Relative abundance,58,55,5.8,5.5,3,4
SB079,Grassland,Pasture,Passive,25,Ascomycota,Relative abundance,60,55,6,5.5,3,4
SB079,Grassland,Pasture,Passive,30,Ascomycota,Relative abundance,65,55,6.5,5.5,3,4
SB074,Forest,Monoculture plantation,Active,12,Ascomycota,Relative abundance,46.1,55.96,2.34,4.270889837,4,5
SB166,Forest,Deforestation,Passive,40,Ascomycota,Relative abundance,37.11,56.05,15.18290157,5.9703015,5,5
SB166,Forest,Deforestation,Active,40,Ascomycota,Relative abundance,55.57,56.05,8.608861713,5.9703015,5,5
SB071,Forest,Agriculture,Passive,5,Ascomycota,Relative abundance,60.656,57.688,6.0656,5.7688,5,5
SB071,Forest,Agriculture,Passive,17.5,Ascomycota,Relative abundance,61.248,57.688,6.1248,5.7688,5,5
SB071,Forest,Agriculture,Passive,35,Ascomycota,Relative abundance,64.927,57.688,6.4927,5.7688,5,5
SB096,Forest,Erosion,Active,2.5,Ascomycota,Relative abundance,76,58,7.6,5.8,3,4
SB037,Forest,Agriculture,Passive,11,Ascomycota,Relative abundance,60.529,58.333,5.71465957,5.8333,6,7
SB037,Forest,Agriculture,Passive,35,Ascomycota,Relative abundance,52.568,58.333,5.71465957,5.8333,6,7
SB037,Forest,Agriculture,Passive,60,Ascomycota,Relative abundance,54.764,58.333,5.71465957,5.8333,6,7
SB037,Forest,Agriculture,Passive,100,Ascomycota,Relative abundance,42.823,58.333,5.71465957,5.8333,6,7
SB037,Forest,Agriculture,Passive,150,Ascomycota,Relative abundance,40.352,58.333,5.71465957,5.8333,6,7
SB156,Forest,Deforestation,Active,15,Ascomycota,Relative abundance,52.5,60,5.25,6,4,4
SB156,Forest,Deforestation,Active,12,Ascomycota,Relative abundance,54,60,5.4,6,4,4
SB082,Forest,Deforestation,Active,10,Ascomycota,Relative abundance,37,62,3.7,6.2,5,6
SB082,Forest,Deforestation,Active,16,Ascomycota,Relative abundance,55,62,5.5,6.2,5,6
SB082,Forest,Deforestation,Active,22,Ascomycota,Relative abundance,35,62,3.5,6.2,5,6
SB082,Forest,Deforestation,Active,47,Ascomycota,Relative abundance,35,62,3.5,6.2,5,6
SB092,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,30,62,3,6.2,18,19
SB092,Forest,Agriculture,Passive,15,Ascomycota,Relative abundance,35,62,3.5,6.2,18,19
SB132,Forest,Erosion,Active,57,Ascomycota,Relative abundance,8,62,0.8,6.2,4,5
SB132,Forest,Erosion,Active,57,Ascomycota,Relative abundance,28,62,2.8,6.2,4,5
SB132,Forest,Erosion,Active,57,Ascomycota,Relative abundance,64,62,6.4,6.2,4,5
SB151,Grassland,Pasture,Passive,20,Ascomycota,Relative abundance,66.694,62,5.40399852,4.144,3,4
SB049,Forest,Mining,Active,6,Ascomycota,Relative abundance,62.5,62.5,6.25,6.25,4,5
SB049,Forest,Mining,Active,6,Ascomycota,Relative abundance,60,62.5,6,6.25,4,5
SB049,Forest,Mining,Active,6,Ascomycota,Relative abundance,81.5,62.5,8.15,6.25,4,5
SB133,Grassland,Pasture,Active,31,Ascomycota,Relative abundance,35,62.86,5.109549882,21.32,3,4
SB133,Grassland,Pasture,Active,48,Ascomycota,Relative abundance,56.71,62.86,7.551741521,21.32,3,4
SB162,Grassland,Agriculture,Passive,5,Ascomycota,Relative abundance,55.013123,62.992126,0.7273704,8.728445,3,3
SB162,Grassland,Agriculture,Passive,15,Ascomycota,Relative abundance,60.892388,62.992126,4.3642225,8.728445,3,3
SB162,Grassland,Agriculture,Passive,20,Ascomycota,Relative abundance,51.023622,62.992126,2.1821113,8.728445,3,3
SB162,Grassland,Agriculture,Passive,40,Ascomycota,Relative abundance,41.154856,62.992126,4.7279077,8.728445,3,3
SB146,Forest,Erosion,Active,25,Ascomycota,Relative abundance,66,63,6.6,6.3,3,4
SB146,Forest,Erosion,Active,25,Ascomycota,Relative abundance,78,63,7.8,6.3,3,4
SB182,Grassland,Agriculture,Active,7,Ascomycota,Relative abundance,87.5,63,8.75,6.3,5,5
SB182,Grassland,Agriculture,Active,7,Ascomycota,Relative abundance,92,63,9.2,6.3,5,5
SB077,Forest,Monoculture plantation,Active,11,Ascomycota,Relative abundance,58.54,64.28,32.94360636,22.1,3,4
SB077,Forest,Monoculture plantation,Active,11,Ascomycota,Relative abundance,16.14,64.28,9.682164014,22.1,3,4
SB092,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,37,65,3.7,6.5,18,19
SB092,Forest,Agriculture,Passive,15,Ascomycota,Relative abundance,37,65,3.7,6.5,18,19
SB100,Forest,Agriculture,Active,1.5,Ascomycota,Relative abundance,66,65,6.6,6.5,5,6
SB100,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,30,65,3,6.5,5,6
SB100,Forest,Agriculture,Active,1.5,Ascomycota,Relative abundance,68,65,6.8,6.5,5,6
SB100,Forest,Agriculture,Active,15,Ascomycota,Relative abundance,70,65,7,6.5,5,6
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,35,65,3.5,6.5,3,4
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,20,65,2,6.5,3,4
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,33,65,3.3,6.5,3,4
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,55,65,5.5,6.5,3,4
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,45,65,4.5,6.5,3,4
SB154,Forest,Agriculture,Active,24,Ascomycota,Relative abundance,10,65,1,6.5,3,4
SB118,Grassland,Agriculture,Active,2.5,Ascomycota,Relative abundance,60,67,6,6.7,5,6
SB118,Grassland,Agriculture,Active,11,Ascomycota,Relative abundance,70,67,7,6.7,5,6
SB118,Grassland,Agriculture,Active,16,Ascomycota,Relative abundance,68,67,6.8,6.7,5,6
SB069,Forest,Agriculture,Active,17,Ascomycota,Relative abundance,48.952,67.428,4.617647453,8.38,3,4
SB069,Forest,Agriculture,Active,28,Ascomycota,Relative abundance,45.142,67.428,1.318090665,8.38,3,4
SB069,Forest,Agriculture,Active,34,Ascomycota,Relative abundance,55.238,67.428,4.948469157,8.38,3,4
SB069,Forest,Agriculture,Active,45,Ascomycota,Relative abundance,40.571,67.428,5.608380515,8.38,3,4
