ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB111,Grassland,Mining,Active,15,Total,PLFA content,8.61,1.53,0.411096096,0.252982213,10,10
SB033,Forest,Mining,Active,10,Total,PLFA content,1.77,1.59,0.311769145,0.36,3,4
SB033,Forest,Mining,Active,10,Total,PLFA content,3.68,1.59,0.710140831,0.36,3,4
SB033,Forest,Mining,Active,10,Total,PLFA content,3.03,1.59,2.147743001,0.36,3,4
SB033,Forest,Mining,Active,10,Total,PLFA content,1.54,1.59,0.277128129,0.36,3,4
SB062,Grassland,Erosion,Active,10,Total,PLFA content,2.732,1.62,1.046,0.713305685,4,5
SB062,Grassland,Erosion,Active,15,Total,PLFA content,1.627,1.62,0.638,0.713305685,4,5
SB062,Grassland,Erosion,Active,25,Total,PLFA content,4.534,1.62,1.394,0.713305685,4,5
SB062,Grassland,Erosion,Active,40,Total,PLFA content,1.482,1.62,0.29,0.713305685,4,5
SB107,Forest,Agriculture,Active,37,Total,PLFA content,2.181,1.693,0.49214632,1.207239413,2,3
SB107,Forest,Agriculture,Active,37,Total,PLFA content,13.207,1.693,1.776252234,1.207239413,2,3
SB136,Forest,Agriculture,Passive,7,Total,PLFA content,7.28,2.67,0.728,0.267,3,4
SB136,Forest,Agriculture,Passive,21,Total,PLFA content,9.01,2.67,0.901,0.267,3,4
SB136,Forest,Agriculture,Active,7,Total,PLFA content,4.39,2.67,0.439,0.267,3,4
SB136,Forest,Agriculture,Active,7,Total,PLFA content,4.67,2.67,0.467,0.267,3,4
SB109,Forest,Monoculture plantation,Active,8,Total,PLFA content,5.547,3.823,1.178407824,0.992043346,5,6
SB022,Grassland,Agriculture,Active,18,Total,PLFA content,3.5,3.83,1.05,0.36,9,9
SB022,Grassland,Agriculture,Active,28,Total,PLFA content,4.54,3.83,0.33,0.36,9,9
SB109,Forest,Monoculture plantation,Active,8,Total,PLFA content,5.547,3.894,1.178407824,0.345378054,5,6
SB138,Forest,Agriculture,Active,15,Total,PLFA content,7.605,3.958,2.451677997,1.186675187,21,22
SB138,Forest,Agriculture,Passive,15,Total,PLFA content,8.084,3.958,2.062159063,1.186675187,21,22
