ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB146,Forest,Erosion,Active,25,Total,Shannon index,4.7,5.2,1.09292406,0.658179307,3,3
SB120,Forest,Others,Passive,1,Total,Shannon index,5.925,5.228,0.522,0.104,4,4
SB120,Forest,Others,Passive,2,Total,Shannon index,6.274,5.228,0.208,0.104,4,4
SB120,Forest,Mining,Passive,2,Total,Shannon index,6.1,5.228,1.464,0.104,4,4
SB120,Forest,Others,Passive,20,Total,Shannon index,5.49,5.228,0.452,0.104,4,4
SB112,Forest,Deforestation,Passive,6,Total,Shannon index,4.21,5.28,0.31,0.14,3,3
SB112,Forest,Deforestation,Passive,6,Total,Shannon index,6.3,5.28,0.18,0.14,3,3
SB112,Forest,Deforestation,Passive,6,Total,Shannon index,5.36,5.28,0.04,0.14,3,3
SB112,Forest,Deforestation,Passive,6,Total,Shannon index,2.81,5.28,0.07,0.14,3,3
SB128,Grassland,Mining,Passive,2,Total,Shannon index,4.875,5.829,0.126,0.316,4,4
SB128,Grassland,Mining,Passive,5,Total,Shannon index,5.137,5.829,0.272,0.316,4,4
SB128,Grassland,Mining,Passive,10,Total,Shannon index,5.518,5.829,0.128,0.316,4,4
SB128,Grassland,Mining,Passive,15,Total,Shannon index,6.565,5.829,0.438,0.316,4,4
SB117,Forest,Deforestation,Passive,20,Total,Shannon index,4.972,6.1,3.031088913,1.333679122,3,3
SB117,Forest,Deforestation,Passive,32,Total,Shannon index,5.28,6.1,0.942235639,1.333679122,3,3
SB117,Forest,Deforestation,Passive,47,Total,Shannon index,5.081,6.1,1.446262424,1.333679122,3,3
SB117,Forest,Deforestation,Passive,61,Total,Shannon index,6.25,6.1,1.281717598,1.333679122,3,3
SB094,Grassland,Mining,Active,4,Total,Shannon index,4.623,6.376,1.018445875,0.526543446,12,12
SB094,Grassland,Mining,Active,6,Total,Shannon index,4.823,6.376,0.242487113,0.526543446,12,12
SB094,Grassland,Mining,Active,9,Total,Shannon index,5.717,6.376,0.547328055,0.526543446,12,12
SB094,Grassland,Mining,Active,14,Total,Shannon index,6.376,6.376,0.547328055,0.526543446,12,12
SB160,Grassland,Agriculture,Passive,2,Total,Shannon index,5.7,6.4,0.29,0.45,3,3
SB160,Grassland,Agriculture,Passive,8,Total,Shannon index,5.1,6.4,0.25,0.45,3,3
SB165,Forest,Deforestation,Passive,16,Total,Shannon index,5.631692,6.616702,0.62246,0.3351708,5,5
SB165,Forest,Deforestation,Passive,23,Total,Shannon index,6.359743,6.616702,0.4309339,0.3351708,5,5
SB165,Forest,Deforestation,Passive,59,Total,Shannon index,6.295503,6.616702,0.3351708,0.3351708,5,5
SB093,Forest,Mining,Active,10,Total,Shannon index,5.48,7.084,0.548,0.7084,7,7
SB093,Forest,Mining,Active,10,Total,Shannon index,6.689,7.084,0.6689,0.7084,7,7
SB093,Forest,Mining,Active,10,Total,Shannon index,6.425,7.084,0.6425,0.7084,7,7
SB093,Forest,Mining,Active,10,Total,Shannon index,4.136,7.084,0.4136,0.7084,7,7
SB093,Forest,Mining,Active,10,Total,Shannon index,6.852,7.084,0.6852,0.7084,7,7
SB122,Forest,Mining,Active,5,Total,Shannon index,7.457,7.307,1.523952755,0.902201197,7,7
SB122,Forest,Mining,Active,5,Total,Shannon index,7.029,7.307,1.637720062,0.902201197,7,7
SB122,Forest,Mining,Active,5,Total,Shannon index,6.687,7.307,3.050551262,0.902201197,7,7
SB122,Forest,Mining,Active,5,Total,Shannon index,7.478,7.307,4.069165516,0.902201197,7,7
SB151,Grassland,Pasture,Passive,20,Total,Shannon index,6.688,7.441,0.251147367,0.188793538,3,3
SB118,Grassland,Agriculture,Active,2.5,Total,Shannon index,8.07,7.619,0.478518547,0.713305685,5,5
SB118,Grassland,Agriculture,Active,11,Total,Shannon index,8.081,7.619,0.456157867,0.713305685,5,5
SB118,Grassland,Agriculture,Active,16,Total,Shannon index,8.138,7.619,0.444977528,0.713305685,5,5
SB116,Grassland,Deforestation,Active,25,Total,Shannon index,590.48,573.761,152.5467935,193.8693297,5,5
SB116,Grassland,Deforestation,Active,40,Total,Shannon index,544.037,573.761,118.6055177,193.8693297,5,5
SB116,Grassland,Deforestation,Active,50,Total,Shannon index,574.026,573.761,167.7811246,193.8693297,5,5
SB116,Grassland,Deforestation,Active,75,Total,Shannon index,464.419,573.761,42.94592158,193.8693297,5,5
