ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB172,Grassland,Pasture,Active,3,Ascomycota,Relative abundance,78,58,7.8,5.8,8,8
SB146,Forest,Erosion,Active,25,Ascomycota,Relative abundance,66,59,6.6,5.9,3,3
SB146,Forest,Erosion,Active,25,Ascomycota,Relative abundance,78,59,7.8,5.9,3,3
SB093,Forest,Mining,Active,10,Ascomycota,Relative abundance,47.031,60.115,4.7031,6.0115,7,7
SB093,Forest,Mining,Active,10,Ascomycota,Relative abundance,75.792,60.115,7.5792,6.0115,7,7
SB093,Forest,Mining,Active,10,Ascomycota,Relative abundance,40.432,60.115,4.0432,6.0115,7,7
SB093,Forest,Mining,Active,10,Ascomycota,Relative abundance,46.599,60.115,4.6599,6.0115,7,7
SB093,Forest,Mining,Active,10,Ascomycota,Relative abundance,64.466,60.115,6.4466,6.0115,7,7
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,58,61,5.8,6.1,3,3
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,45,61,4.5,6.1,3,3
SB114,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,61,61,6.1,6.1,3,3
SB071,Forest,Agriculture,Passive,5,Ascomycota,Relative abundance,60.656,62.793,6.0656,6.2793,5,5
SB071,Forest,Agriculture,Passive,17.5,Ascomycota,Relative abundance,61.248,62.793,6.1248,6.2793,5,5
SB071,Forest,Agriculture,Passive,35,Ascomycota,Relative abundance,64.927,62.793,6.4927,6.2793,5,5
SB124,Grassland,Agriculture,Active,20,Ascomycota,Relative abundance,75.8,66.8,3.394819583,7.2919339,3,3
SB124,Grassland,Agriculture,Active,20,Ascomycota,Relative abundance,59.4,66.8,3.446781107,7.2919339,3,3
SB171,Grassland,Mining,Active,2,Ascomycota,Relative abundance,72.5,72,7.25,7.2,7,7
