ID,Restored_SS,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Reference_Mean,Res_vs_Ref_Mean,Restored_SD,Reference_SD,Res_vs_Ref_SD,Restored_SS,Reference_SS,yi,vi
SB117,9,32,Forest,Deforestation,Passive,1.0211388,0.1788262,1.0047904,0.51157738,0.09036694,0.389892,9,9,-0.177513427,0.037555075
SB117,9,20,Forest,Deforestation,Passive,1.5101879,0.1788262,1.6906577,0.97319948,0.09036694,1.0838719,9,9,0.000972639,0.082873826
SB021,3,11,Forest,Erosion,Active,0.10104899,0.19000117,0.5503683,0.049976516,0.151938583,0.05114024,3,3,0.637092067,0.103546702
SB021,3,21,Forest,Erosion,Active,0.10419462,0.19000117,0.3616906,0.050191844,0.151938583,0.1391714,3,3,0.206543652,0.147962424
SB021,3,31,Forest,Erosion,Active,0.14765746,0.19000117,0.1902513,0.063339647,0.151938583,0.08501546,3,3,-0.573689585,0.145783347
SB045,6,23,Forest,Deforestation,Passive,0.1649039,0.2239828,0.409301,0.07714971,0.14270904,0.1462869,6,5,0.051162785,0.054782553
SB045,6,10,Forest,Deforestation,Passive,0.2115054,0.2239828,0.3340579,0.11354461,0.14270904,0.1539484,6,5,-0.265153369,0.068203418
SB183,5,64,Forest,Deforestation,Active,0.1569965,0.2570899,0.8282243,0.09172378,0.10602553,0.1081222,5,5,0.693209364,0.026333734
SB183,5,64,Forest,Deforestation,Active,0.2605615,0.2570899,1.4236634,0.09044632,0.10602553,0.1343058,5,5,1.011686645,0.016275933
SB166,5,40,Forest,Deforestation,Active,0.1080882,0.2621361,0.4502787,0.04124619,0.19241121,0.20404195,5,5,0.195757686,0.097571406
SB166,5,40,Forest,Deforestation,Passive,0.2813809,0.2621361,0.2828736,0.17195277,0.19241121,0.18696786,5,5,-0.65306083,0.132456245
SB120,3,2,Forest,Mining,Passive,0.05554156,0.27870439,0.4127777,0.02033183,0.14868529,0.17976847,3,3,0.211032092,0.130416404
SB120,3,20,Forest,Others,Passive,0.11394852,0.27870439,0.2520633,0.03056144,0.14868529,0.0619789,3,3,-0.443245795,0.069969298
SB120,3,2,Forest,Others,Passive,0.17026698,0.27870439,0.492858,0.08351846,0.14868529,0.18311427,3,3,0.093261978,0.094105174
SB120,3,1,Forest,Others,Passive,0.23600147,0.27870439,0.3796714,0.15828345,0.14868529,0.19515489,3,3,-0.30428945,0.147408163
SB146,3,25,Forest,Erosion,Active,0.3893124,0.2838287,0.3542912,0.2198317,0.1828867,0.17042864,3,3,-0.641835792,0.137289562
SB146,3,25,Forest,Erosion,Active,0.513087,0.2838287,0.4394348,0.2136063,0.1828867,0.14955259,3,3,-0.595259546,0.080112449
SB118,15,2.5,Grassland,Agriculture,Active,0.2177068,0.2870233,0.8938709,0.1158595,0.1625686,0.1503477,15,14,0.571537527,0.012808998
SB118,15,11,Grassland,Agriculture,Active,0.3015038,0.2870233,0.8344372,0.2926361,0.1625686,0.3116379,15,14,0.349134511,0.031231717
SB118,15,16,Grassland,Agriculture,Active,0.3370622,0.2870233,0.581334,0.1513069,0.1625686,0.2150463,15,14,-0.070961916,0.017888141
SB097,6,6,Forest,Pasture,Active,0.3939371,0.3074015,0.3609268,0.1976931,0.1344025,0.177362,6,6,-0.664315627,0.059610316
