ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB020,Forest,Mining,Active,5,Total,Richness_Chao1,738.273,852.04,89.14865507,378.2417913,3,3
SB040,Forest,Deforestation,Active,30,Total,Richness_Chao1,572.8,897.4,20.78460969,58.71652238,3,3
SB135,Forest,Deforestation,Active,6,Total,Richness_Chao1,475,1005.51,47.5,100.551,3,3
SB135,Forest,Deforestation,Active,15,Total,Richness_Chao1,637.26,1005.51,63.726,100.551,3,3
SB135,Forest,Deforestation,Active,25,Total,Richness_Chao1,475.04,1005.51,47.504,100.551,3,3
SB135,Forest,Deforestation,Active,32,Total,Richness_Chao1,746.37,1005.51,74.637,100.551,3,3
SB135,Forest,Deforestation,Active,50,Total,Richness_Chao1,643.03,1005.51,64.303,100.551,3,3
SB071,Forest,Agriculture,Passive,5,Total,Richness_Chao1,975.49,1185.46,97.549,118.546,5,5
SB071,Forest,Agriculture,Passive,17.5,Total,Richness_Chao1,1037.9,1185.46,103.79,118.546,5,5
SB071,Forest,Agriculture,Passive,35,Total,Richness_Chao1,1265.83,1185.46,126.583,118.546,5,5
SB146,Forest,Erosion,Active,25,Total,Richness_Chao1,1340,1280,90.8408687,109.0170099,3,3
SB146,Forest,Erosion,Active,25,Total,Richness_Chao1,1190,1280,98.84467549,109.0170099,3,3
SB114,Forest,Deforestation,Passive,30,Total,Richness_Chao1,1106,1503,418.1343855,89.82415488,3,3
SB114,Forest,Deforestation,Passive,30,Total,Richness_Chao1,1486,1503,183.3548985,89.82415488,3,3
SB114,Forest,Deforestation,Passive,30,Total,Richness_Chao1,1428,1503,166.3808006,89.82415488,3,3
SB118,Grassland,Agriculture,Active,2.5,Total,Richness_Chao1,4090,3879,207.9543219,268.3281573,5,5
SB118,Grassland,Agriculture,Active,11,Total,Richness_Chao1,3867,3879,172.1772343,268.3281573,5,5
SB118,Grassland,Agriculture,Active,16,Total,Richness_Chao1,3958,3879,268.3281573,268.3281573,5,5
