ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB102,NMDS,40,Forest,Monoculture plantation,Passive,0.1388536,0.1185665,0.056200222,0.007371834,3,3
SB102,NMDS,55,Forest,Monoculture plantation,Passive,0.2163481,0.1185665,0.018529419,0.007371834,3,3
SB102,NMDS,30,Forest,Monoculture plantation,Passive,0.4813858,0.1185665,0.303881604,0.007371834,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.09728318,0.11913735,0.02735572,0.08468848,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.21018725,0.11913735,0.11643304,0.08468848,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.33363387,0.11913735,0.22956887,0.08468848,3,3
SB069,PCA,34,Forest,Agriculture,Active,0.01529743,0.1202734,0.007633685,0.080428004,3,3
SB069,PCA,28,Forest,Agriculture,Active,0.02230208,0.1202734,0.012028947,0.080428004,3,3
SB069,PCA,17,Forest,Agriculture,Active,0.02850106,0.1202734,0.001537786,0.080428004,3,3
SB069,PCA,45,Forest,Agriculture,Active,0.07208878,0.1202734,0.033488221,0.080428004,3,3
SB104,PCA,7,Forest,Agriculture,Active,0.200819,0.1214951,0.008308696,0.036656354,3,3
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.1785122,0.1218674,0.03019266,0.06342323,3,3
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.1944602,0.1218674,0.08121714,0.06342323,3,3
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.2487818,0.1218674,0.18275921,0.06342323,3,3
SB088,NMDS,5,Grassland,Mining,Active,0.06894411,0.12293334,0.02649155,0.04301225,5,5
SB088,NMDS,20,Grassland,Mining,Active,0.07555388,0.12293334,0.031266,0.04301225,5,5
SB088,NMDS,10,Grassland,Mining,Active,0.08235555,0.12293334,0.03612818,0.04301225,5,5
SB088,NMDS,15,Grassland,Mining,Active,0.15170845,0.12293334,0.10224769,0.04301225,5,5
SB114,PCoA,30,Forest,Deforestation,Passive,0.16361496,0.12606171,0.11203082,0.09968123,3,3
SB114,PCoA,30,Forest,Deforestation,Passive,0.33951558,0.12606171,0.10106538,0.09968123,3,3
SB114,PCoA,30,Forest,Deforestation,Passive,0.36456123,0.12606171,0.29802043,0.09968123,3,3
SB074,PCA,12,Forest,Monoculture plantation,Active,0.3711003,0.1269266,0.16434719,0.05431831,4,4
SB149,PCoA,20,Forest,Agriculture,Passive,0.02341877,0.12969365,0.007215376,0.060086914,3,3
SB149,PCoA,15,Forest,Agriculture,Passive,0.04958671,0.12969365,0.018345498,0.060086914,3,3
SB084,NMDS,5,Forest,Mining,Passive,0.1147138,0.131786,0.04384454,0.05370486,5,6
SB084,NMDS,1,Forest,Mining,Passive,0.2059741,0.131786,0.08270383,0.05370486,6,6
SB084,NMDS,15,Forest,Mining,Passive,0.2059741,0.131786,0.08270383,0.05370486,6,6
SB084,NMDS,10,Forest,Mining,Passive,0.345489,0.131786,0.15493476,0.05370486,5,6
SB084,NMDS,2,Forest,Mining,Passive,0.5077122,0.131786,0.33262362,0.05370486,3,6
SB172,PCoA,3,Grassland,Pasture,Active,0.12419253,0.14056709,0.05668062,0.07839591,8,8
SB160,PCA,8,Grassland,Agriculture,Passive,0.07292843,0.14237875,0.02368723,0.07091338,3,3
SB160,PCA,2,Grassland,Agriculture,Passive,0.21567177,0.14237875,0.13936403,0.07091338,3,3
SB091,PCoA,4,Grassland,Pasture,Active,0.3196904,0.1441818,0.22085916,0.07108804,8,8
SB082,PCoA,10,Forest,Deforestation,Active,0.1107177,0.1460935,0.04679356,0.06715891,3,3
SB082,PCoA,16,Forest,Deforestation,Active,0.129098,0.1460935,0.02801118,0.06715891,3,3
SB082,PCoA,22,Forest,Deforestation,Active,0.1769981,0.1460935,0.07304474,0.06715891,3,3
SB082,PCoA,47,Forest,Deforestation,Active,0.3969355,0.1460935,0.07686703,0.06715891,3,3
SB150,NMDS,5,Grassland,Pasture,Active,0.03312692,0.14735265,0.008113686,0.063203293,3,3
SB150,NMDS,19,Grassland,Pasture,Active,0.09741198,0.14735265,0.030377446,0.063203293,3,3
SB150,NMDS,16,Grassland,Pasture,Active,0.10715472,0.14735265,0.059297035,0.063203293,3,3
SB150,NMDS,14,Grassland,Pasture,Active,0.14652217,0.14735265,0.018800507,0.063203293,3,3
SB078,PCoA,1,Forest,Erosion,Active,0.11915,0.1474618,0.05633937,0.09322033,3,3
SB078,PCoA,16,Forest,Erosion,Active,0.1262467,0.1474618,0.06010733,0.09322033,3,3
SB078,PCoA,11,Forest,Erosion,Active,0.1719327,0.1474618,0.0812382,0.09322033,3,3
SB078,PCoA,6,Forest,Erosion,Active,0.216257,0.1474618,0.13614161,0.09322033,3,3
SB091,PCoA,4,Grassland,Pasture,Active,0.2168578,0.1493081,0.12021201,0.07740206,8,8
SB162,NMDS,5,Grassland,Agriculture,Passive,0.01385756,0.1554436,0.000775996,0.10375486,3,3
SB162,NMDS,20,Grassland,Agriculture,Passive,0.02000346,0.1554436,0.005690578,0.10375486,3,3
SB162,NMDS,15,Grassland,Agriculture,Passive,0.02437362,0.1554436,0.0075193,0.10375486,3,3
