ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB132,NMDS,57,Forest,Erosion,Active,0.4392402,0.2563579,2.850177,0.1307789,0.1231304,0.2242814,3,3,1.410364326,0.024291171
SB132,NMDS,57,Forest,Erosion,Active,0.9305667,0.2563579,1.801914,0.4041874,0.1231304,0.273477,3,3,0.417483841,0.049919654
SB052,PCoA,30,Grassland,Others,Passive,0.0728431,0.2612844,0.8121048,0.03574063,0.24017267,0.14826196,4,4,0.888106739,0.140363308
SB052,PCoA,12,Grassland,Others,Passive,0.0932983,0.2612844,0.9007747,0.06094258,0.24017267,0.08731286,4,4,0.932313566,0.124430841
SB049,NMDS,6,Forest,Mining,Active,0.2436038,0.2634796,0.8919496,0.17475002,0.07331855,0.1961382,4,4,0.564734142,0.047005667
SB049,NMDS,6,Forest,Mining,Active,0.256253,0.2634796,1.9843565,0.0923076,0.07331855,0.1697496,4,4,1.339735511,0.014690577
SB049,NMDS,6,Forest,Mining,Active,0.4086275,0.2634796,1.7745821,0.11493883,0.07331855,0.2409026,4,4,0.970902535,0.014893493
SB101,NMDS,24,Grassland,Agriculture,Active,0.2624764,0.2701092,0.9074866,0.12166155,0.10790162,0.2303242,5,5,0.532935164,0.031529236
SB101,NMDS,24,Grassland,Agriculture,Passive,0.277361,0.2701092,0.4912337,0.12479218,0.10790162,0.1916738,5,5,-0.108388049,0.048610061
SB101,NMDS,24,Grassland,Agriculture,Passive,0.2820589,0.2701092,0.8300268,0.09100096,0.10790162,0.1694364,5,5,0.407605461,0.021403715
SB101,NMDS,24,Grassland,Agriculture,Active,0.3080164,0.2701092,0.9114349,0.11007075,0.10790162,0.1904779,5,5,0.455229025,0.022951888
